Write to 00000002, data: ffffffff
Read from 00000016, data: 000064a4
Read from 00000017, data: 00000064
Read from 00000018, data: 98000000
Read from 00000019, data: e3980000
Read from 0000001a, data: 00e39800
Read from 0000001b, data: c400e398
Read from 0000001c, data: 40c400e3
Read from 0000001d, data: 0040c400
Read from 0000000a, data: 0000ff00


 Status Update: 0040c40040c400e3c400e39800e39800e39800009800000000000064000064a40064a40064a40000a400009800009800009800009800000000000064000064000064000064000000000000ff0000ff00

Read from 00000002, data: 00000000
Read from 00000003, data: c0000000
Read from 00000004, data: 0fc00000
Read from 00000005, data: 000fc000
Read from 00000006, data: 00000fc0
Read from 00000007, data: 0000000f
Read from 00000008, data: ff000000
Read from 00000009, data: 00ff0000
 Difficulty:    00ff0000ff0000000000000f00000fc0000fc0000fc00000c000000000000000
Read from 00000000, data: 00000334
Read from 0000000b, data: 000000ff
Read from 0000000c, data: 64000000
Read from 0000000d, data: 00640000
Read from 0000000e, data: 00006400
Read from 0000000f, data: 00000064
Read from 00000010, data: 98000000
Read from 00000011, data: 00980000
Read from 00000012, data: 00009800
Read from 00000013, data: a4000098
Read from 00000014, data: 64a40000
Read from 00000015, data: 0064a400
Read from 00000016, data: 000064a4
Read from 00000017, data: 00000064
Read from 00000018, data: 98000000
Read from 00000019, data: e3980000
Read from 0000001a, data: 00e39800
Read from 0000001b, data: c400e398
Read from 0000001c, data: 40c400e3
Read from 0000001d, data: 0040c400
Read from 0000000a, data: 0000ff00


 Status Update: 0040c40040c400e3c400e39800e39800e39800009800000000000064000064a40064a40064a40000a400009800009800009800009800000000000064000064000064000064000000000000ff0000ff00

Read from 00000002, data: 00000000
Read from 00000003, data: c0000000
Read from 00000004, data: 0fc00000
Read from 00000005, data: 000fc000
Read from 00000006, data: 00000fc0
Read from 00000007, data: 0000000f
Read from 00000008, data: ff000000
Read from 00000009, data: 00ff0000
 Difficulty:    00ff0000ff0000000000000f00000fc0000fc0000fc00000c000000000000000
Read from 00000000, data: 00000334
Read from 0000000b, data: 000000ff
Read from 0000000c, data: 64000000
Read from 0000000d, data: 00640000
Read from 0000000e, data: 00006400
Read from 0000000f, data: 00000064
Read from 00000010, data: 98000000
Read from 00000011, data: 00980000
Read from 00000012, data: 00009800
Read from 00000013, data: a4000098
Read from 00000014, data: 64a40000
Read from 00000015, data: 0064a400
Read from 00000016, data: 000064a4
Read from 00000017, data: 00000064
Read from 00000018, data: 98000000
Read from 00000019, data: e3980000
Read from 0000001a, data: 00e39800
Read from 0000001b, data: c400e398
Read from 0000001c, data: 40c400e3
Read from 0000001d, data: 0040c400
Read from 0000000a, data: 0000ff00


 Status Update: 0040c40040c400e3c400e39800e39800e39800009800000000000064000064a40064a40064a40000a400009800009800009800009800000000000064000064000064000064000000000000ff0000ff00

Read from 00000002, data: 00000000
Read from 00000003, data: c0000000
Read from 00000004, data: 0fc00000
Read from 00000005, data: 000fc000
Read from 00000006, data: 00000fc0
Read from 00000007, data: 0000000f
Read from 00000008, data: ff000000
Read from 00000009, data: 00ff0000
 Difficulty:    00ff0000ff0000000000000f00000fc0000fc0000fc00000c000000000000000
Read from 00000000, data: 00000334
Read from 0000000b, data: 000000ff
Read from 0000000c, data: 64000000
Read from 0000000d, data: 00640000
Read from 0000000e, data: 00006400
Read from 0000000f, data: 00000064
Read from 00000010, data: 98000000
Read from 00000011, data: 00980000
Read from 00000012, data: 00009800
Read from 00000013, data: a4000098
Read from 00000014, data: 64a40000
Read from 00000015, data: 0064a400
Read from 00000016, data: 000064a4
Read from 00000017, data: 00000064
Read from 00000018, data: 98000000
Read from 00000019, data: e3980000
Read from 0000001a, data: 00e39800
Read from 0000001b, data: c400e398
Read from 0000001c, data: 40c400e3
Read from 0000001d, data: 0040c400
Read from 0000000a, data: 0000ff00


 Status Update: 0040c40040c400e3c400e39800e39800e39800009800000000000064000064a40064a40064a40000a400009800009800009800009800000000000064000064000064000064000000000000ff0000ff00

Read from 00000002, data: 00000000
Read from 00000003, data: c0000000
Read from 00000004, data: 0fc00000
Read from 00000005, data: 000fc000
Read from 00000006, data: 00000fc0
Read from 00000007, data: 0000000f
Read from 00000008, data: ff000000
Read from 00000009, data: 00ff0000
 Difficulty:    00ff0000ff0000000000000f00000fc0000fc0000fc00000c000000000000000
Read from 
